trapped.pig.uniq.id,uniq.group,trial,group.trapped.pig.order,pot.helper.uniq.id,pot.helper.response,related,pot.helper.helped.by.trapped.before,trapped.before,trapped.pig.helped.others.before,pothelper.sex,test.dur.look.s.per.min,pretrial.rate.curio.min,pretrial.open.yn,train.rate.curio.min,train.rate.open,lat.helped.min,test.dur.look.window,test.count.look.window,test.curios.score,pretrial.curio.yn,trapped.pig.sow,trapped.pig.sex,test.count.look.per.testmin,test.rate.curio.min,pretrial.rate.open.min,pothelper.mom
DG2_W_3,DG2_W,DG2_W3_100920,7,DG2_W_8,0,No,No,Yes,n,Female,30.61937536,0,Yes,0.175,0.041666667,0.314833333,9.64,2,0,0,6142,w,6.352567503,0,0.044908967,5764
DG2_W_3,DG2_W,DG2_W3_100920,7,DG2_W_9,1,No,No,Yes,n,Female,24.13975651,0,No,0.308333334,0.083333333,0.314833333,7.6,1,0,0,6142,w,3.176283751,0,0,5764
DG3_F_9,DG3_F,DG3_F9_191020,1,DG3_F_1,0,No,No,No,n,Male,5.297590967,0,No,0.39,0.04,10.24616667,54.28,9,0,0,6369,w,0.878377279,0,0,6271
DG3_F_9,DG3_F,DG3_F9_191020,1,DG3_F_10,0,Yes,No,No,n,Female,8.166956745,0,No,0.263333333,0.043333333,10.24616667,83.68,14,0,0,6369,w,1.366364656,0,0,6369
DG3_F_9,DG3_F,DG3_F9_191020,1,DG3_F_2,1,No,No,No,n,Male,0,0,No,0.38,0.06,10.24616667,0,0,3,0,6369,w,0,0.292792426,0,6271
DG3_F_9,DG3_F,DG3_F9_191020,1,DG3_F_3,0,No,No,No,n,Female,19.23060656,0,No,0.326666667,0.046666667,10.24616667,197.04,18,1,0,6369,w,1.756754558,0.097597475,0,6271
DG3_F_9,DG3_F,DG3_F9_191020,1,DG3_F_4,0,No,No,No,n,Female,0,0,No,0.41,0.096666667,NA,NA,NA,NA,0,6369,w,0,0,0,6271
DG3_F_9,DG3_F,DG3_F9_191020,1,DG3_F_5,0,No,No,No,n,Female,1.951949509,0,No,0.446666667,0.143333333,10.24616667,20,7,3,0,6369,w,0.683182328,0.292792426,0,6271
DG3_F_9,DG3_F,DG3_F9_191020,1,DG3_F_6,0,Yes,No,No,n,Male,0,0,No,0.273333333,0.026666667,NA,NA,NA,NA,0,6369,w,0,0,0,6369
DG3_F_9,DG3_F,DG3_F9_191020,1,DG3_F_7,0,Yes,No,No,n,Male,0,0,No,0.386666667,0.02,NA,NA,NA,NA,0,6369,w,0,0,0,6369
DG3_F_9,DG3_F,DG3_F9_191020,1,DG3_F_8,0,Yes,No,No,n,Male,0,0,No,0.23,0.003333333,NA,NA,NA,NA,0,6369,w,0,0,0,6369
DG3_F_10,DG3_F,DG3_F10_191020,2,DG3_F_1,0,No,No,No,n,Male,0.052,0,No,0.39,0.04,20,1.04,2,0,0,6369,w,0.1,0,0,6271
DG3_F_10,DG3_F,DG3_F10_191020,2,DG3_F_2,0,No,No,No,n,Male,0.518,0,No,0.38,0.06,20,10.36,3,0,0,6369,w,0.15,0,0,6271
DG3_F_10,DG3_F,DG3_F10_191020,2,DG3_F_3,0,No,No,No,n,Female,0,0,No,0.326666667,0.046666667,NA,NA,NA,NA,0,6369,w,0,0,0,6271
DG3_F_10,DG3_F,DG3_F10_191020,2,DG3_F_4,0,No,No,No,n,Female,0,0,No,0.41,0.096666667,NA,NA,NA,NA,0,6369,w,0,0,0,6271
DG3_F_10,DG3_F,DG3_F10_191020,2,DG3_F_5,0,No,No,No,n,Female,0,0,No,0.446666667,0.143333333,NA,NA,NA,NA,0,6369,w,0,0,0,6271
DG3_F_10,DG3_F,DG3_F10_191020,2,DG3_F_6,0,Yes,No,No,n,Male,0.33,0,No,0.273333333,0.026666667,20,6.6,4,0,0,6369,w,0.2,0,0,6369
DG3_F_10,DG3_F,DG3_F10_191020,2,DG3_F_7,0,Yes,No,No,n,Male,0.756,0,No,0.386666667,0.02,20,15.12,3,0,0,6369,w,0.15,0,0,6369
DG3_F_10,DG3_F,DG3_F10_191020,2,DG3_F_8,0,Yes,No,No,n,Male,0,0,No,0.23,0.003333333,NA,NA,NA,NA,0,6369,w,0,0,0,6369
DG3_F_10,DG3_F,DG3_F10_191020,2,DG3_F_9,0,Yes,No,Yes,n,Female,0.972,0,No,0.29,0.03,20,19.44,5,2,0,6369,w,0.25,0.1,0,6369
