trapped.pig.uniq.id,pot.helper.uniq.id,trial,uniq.group,Test_subj.opens.testbox,Test_subj.opens.emptybox.to20,Sep_numtimes.open.testbox,Sep_numtimes.open.emptybox,Sep_rate.open.testbox_permin,Sep_rate.open.emptybox_permin,Sep.open.any.yn,related,trapped.before,pothelper.sex,train.rate.curio.min,train.rate.open.anybox,dur.look.testwindow.s,rate.look.testwindow.s.per.min,prop.look.test.window,lat.helped.min,dur.look.emptywindow.s,rate.look.emptywindow.s.per.min,prop.look.emptywindow,trapped.pig.sow,trapped.pig.sex,pothelper.mom,location.test.box,date,daily.test.order.bothgroups,daily.test.order.within.group,group.test.order,test.day,Sep_rate.open.anybox
DG2_W_5,DG2_W_9,DG2_W5_080920,DG2_W,0,0,0,0,0,0,0,n,y,Female,0.308333334,0.083333333,0,0,0,1.356833333,0,0,0,5931,m,5764,FG,08.09.20,2.2,2,4,2,0
DG2_W_8,DG2_W_1,DG2_W8_090920,DG2_W,0,0,0,0,0,0,0,n,y,Male,0.183333334,0.033333333,0,0,0,0.484166667,0,0,0,5764,w,6142,ZG,09.09.20,3.4,2,6,3,0
DG2_W_8,DG2_W_2,DG2_W8_090920,DG2_W,0,0,0,0,0,0,0,n,y,Female,0.316666667,0.091666667,12.68,26.18932873,0.436488812,0.484166667,0,0,0,5764,w,6142,ZG,09.09.20,3.4,2,6,3,0
DG2_W_8,DG2_W_3,DG2_W8_090920,DG2_W,0,1,0,0,0,0,0,n,n,Female,0.216666667,0.033333333,0,0,0,0.484166667,0,0,0,5764,w,6142,ZG,09.09.20,3.4,2,6,3,0
DG2_W_8,DG2_W_4,DG2_W8_090920,DG2_W,0,0,0,0,0,0,0,n,y,Male,0.291666667,0.175,0,0,0,0.484166667,0,0,0,5764,w,5931,ZG,09.09.20,3.4,2,6,3,0
DG2_W_8,DG2_W_5,DG2_W8_090920,DG2_W,0,0,0,0,0,0,0,n,y,Male,0.266666667,0.125,0,0,0,0.484166667,0,0,0,5764,w,5931,ZG,09.09.20,3.4,2,6,3,0
DG2_W_8,DG2_W_9,DG2_W8_090920,DG2_W,1,0,0,0,0,0,0,y,y,Female,0.308333334,0.083333333,1.12,2.31325301,0.038554217,0.484166667,0,0,0,5764,w,5764,ZG,09.09.20,3.4,2,6,3,0
DG2_W_9,DG2_W_1,DG2_W9_080920,DG2_W,0,0,0,0,0,0,0,n,y,Male,0.183333334,0.033333333,0,0,0,0.484166667,0,0,0,5764,w,6142,ZG,08.09.20,2.1,1,3,2,0
DG2_W_9,DG2_W_2,DG2_W9_080920,DG2_W,0,0,0,0,0,0,0,n,n,Female,0.316666667,0.091666667,3.08,10.71304348,0.178550725,0.2875,0,0,0,5764,w,6142,ZG,08.09.20,2.1,1,3,2,0
DG2_W_9,DG2_W_3,DG2_W9_080920,DG2_W,0,1,0,0,0,0,0,n,n,Female,0.216666667,0.033333333,9.2,32,0.533333333,0.2875,0,0,0,5764,w,6142,ZG,08.09.20,2.1,1,3,2,0
DG2_W_9,DG2_W_4,DG2_W9_080920,DG2_W,0,0,0,0,0,0,0,n,y,Male,0.291666667,0.175,3.3,11.47826087,0.191304348,0.2875,0,0,0,5764,w,5931,ZG,08.09.20,2.1,1,3,2,0
DG2_W_9,DG2_W_5,DG2_W9_080920,DG2_W,0,0,0,0,0,0,0,n,n,Male,0.266666667,0.125,16.42,57.11304348,0.951884058,0.2875,0,0,0,5764,w,5931,ZG,08.09.20,2.1,1,3,2,0
DG2_W_9,DG2_W_8,DG2_W9_080920,DG2_W,1,0,0,0,0,0,0,y,n,Female,0.175,0.041666667,14.24,49.53043478,0.825507246,0.2875,0,0,0,5764,w,5764,ZG,08.09.20,2.1,1,3,2,0
DG3_F_1,DG3_F_10,DG3_F1_231020,DG3_F,0,0,0,0,0,0,0,n,y,Female,0.263333333,0.043333333,0,0,0,0.488833333,0,0,0,6271,m,6369,FG,23.10.20,5.1,1,9,5,0
DG3_F_1,DG3_F_2,DG3_F1_231020,DG3_F,0,0,1,0,0.173892882,0,1,y,y,Male,0.38,0.06,15.76,32.2400273,0.537333788,0.488833333,0,0,0,6271,m,6271,FG,23.10.20,5.1,1,9,5,0.173892882
DG3_F_1,DG3_F_3,DG3_F1_231020,DG3_F,1,0,0,0,0,0,0,y,n,Female,0.326666667,0.046666667,11.12,22.74803957,0.379133993,0.488833333,0,0,0,6271,m,6271,FG,23.10.20,5.1,1,9,5,0
DG3_F_1,DG3_F_4,DG3_F1_231020,DG3_F,0,0,0,0,0,0,0,y,y,Female,0.41,0.096666667,6.36,13.01056939,0.216842823,0.488833333,0,0,0,6271,m,6271,FG,23.10.20,5.1,1,9,5,0
