trapped.pig.unique.id,id.group,sex,location,helper,condition,compartment,opened.comp,date,daily.test.order.within.group,group.test.order,test.day
DG4_W_5,DG4_W,f,Side,Pig,test,emptybox,1,01.12.20,1,3,2
DG4_W_5,DG4_W,f,Front,Pig,test,testbox,1,01.12.20,1,3,2
DG4_W_5,DG4_W,f,Side,Pig,separation,emptybox,0,01.12.20,1,3,2
DG4_W_6,DG4_W,m,Side,Pig,test,emptybox,1,30.11.20,2,2,1
DG4_W_6,DG4_W,m,Front,Pig,test,testbox,1,30.11.20,2,2,1
DG4_W_6,DG4_W,m,Front,Pig,separation,testbox,1,30.11.20,2,2,1
DG4_W_6,DG4_W,m,Side,Pig,separation,emptybox,0,30.11.20,2,2,1
DG4_W_7,DG4_W,m,Front,Pig,test,testbox,1,03.12.20,1,7,4
DG4_W_7,DG4_W,m,Side,Pig,separation,emptybox,0,03.12.20,1,7,4
DG4_W_7,DG4_W,m,Side,Pig,test,emptybox,1,03.12.20,1,7,4
DG4_W_7,DG4_W,m,Front,Pig,separation,testbox,0,03.12.20,1,7,4
DG4_W_8,DG4_W,f,Side,Pig,separation,emptybox,0,04.12.20,2,10,5
DG4_W_8,DG4_W,f,Front,Pig,test,testbox,1,04.12.20,2,10,5
DG4_W_8,DG4_W,f,Front,Pig,separation,testbox,0,04.12.20,2,10,5
DG4_W_8,DG4_W,f,Side,Pig,test,emptybox,0,04.12.20,2,10,5
DG4_W_9,DG4_W,f,Side,Pig,test,testbox,1,01.12.20,2,4,2
DG4_W_9,DG4_W,f,Front,Pig,separation,emptybox,1,01.12.20,2,4,2
DG4_W_9,DG4_W,f,Side,Pig,separation,testbox,1,01.12.20,2,4,2
DG4_W_9,DG4_W,f,Front,Pig,test,emptybox,1,01.12.20,2,4,2
DG5_F_1,DG5_F,m,Side,Human,separation,emptybox,0,03.02.21,1,5,3
DG5_F_1,DG5_F,m,Front,Human,test,testbox,0,03.02.21,1,5,3
DG5_F_1,DG5_F,m,Side,Human,test,emptybox,1,03.02.21,1,5,3
DG5_F_1,DG5_F,m,Front,Human,separation,testbox,1,03.02.21,1,5,3
DG5_F_10,DG5_F,f,Front,Pig,separation,testbox,1,01.02.21,2,2,1
DG5_F_10,DG5_F,f,Front,Pig,test,testbox,1,01.02.21,2,2,1
DG5_F_10,DG5_F,f,Side,Pig,separation,emptybox,0,01.02.21,2,2,1
DG5_F_10,DG5_F,f,Side,Pig,test,emptybox,0,01.02.21,2,2,1
DG5_F_2,DG5_F,m,Side,Pig,test,testbox,1,03.02.21,2,6,3
DG5_F_2,DG5_F,m,Front,Pig,separation,emptybox,0,03.02.21,2,6,3
DG5_F_2,DG5_F,m,Side,Pig,separation,testbox,1,03.02.21,2,6,3
DG5_F_2,DG5_F,m,Front,Pig,test,emptybox,1,03.02.21,2,6,3
DG5_F_3,DG5_F,f,Front,Pig,test,testbox,1,02.02.21,1,3,2
DG5_F_3,DG5_F,f,Side,Pig,separation,emptybox,0,02.02.21,1,3,2
DG5_F_3,DG5_F,f,Side,Pig,test,emptybox,1,02.02.21,1,3,2
DG5_F_3,DG5_F,f,Front,Pig,separation,testbox,1,02.02.21,1,3,2
DG5_F_4,DG5_F,f,Side,Pig,test,testbox,1,02.02.21,2,4,2
DG5_F_4,DG5_F,f,Front,Pig,test,emptybox,1,02.02.21,2,4,2
DG5_F_4,DG5_F,f,Side,Pig,separation,testbox,0,02.02.21,2,4,2
DG5_F_4,DG5_F,f,Front,Pig,separation,emptybox,0,02.02.21,2,4,2
DG5_F_5,DG5_F,f,Front,Pig,test,testbox,1,04.02.21,2,8,4
DG5_F_5,DG5_F,f,Side,Pig,separation,emptybox,0,04.02.21,2,8,4
DG5_F_5,DG5_F,f,Side,Pig,test,emptybox,1,04.02.21,2,8,4
DG5_F_5,DG5_F,f,Front,Pig,separation,testbox,0,04.02.21,2,8,4
DG5_F_6,DG5_F,m,Side,Human,test,testbox,0,05.02.21,2,10,5
DG5_F_6,DG5_F,m,Front,Human,test,emptybox,1,05.02.21,2,10,5
DG5_F_6,DG5_F,m,Side,Human,separation,testbox,0,05.02.21,2,10,5
DG5_F_6,DG5_F,m,Front,Human,separation,emptybox,0,05.02.21,2,10,5
DG5_F_7,DG5_F,m,Front,Pig,test,testbox,1,05.02.21,1,9,5
DG5_F_7,DG5_F,m,Side,Pig,test,emptybox,0,05.02.21,1,9,5
DG5_F_7,DG5_F,m,Front,Pig,separation,testbox,1,05.02.21,1,9,5
DG5_F_7,DG5_F,m,Side,Pig,separation,emptybox,1,05.02.21,1,9,5
DG5_F_8,DG5_F,m,Side,Pig,test,testbox,1,01.02.21,1,1,1
DG5_F_8,DG5_F,m,Side,Pig,separation,testbox,0,01.02.21,1,1,1
DG5_F_8,DG5_F,m,Front,Pig,test,emptybox,1,01.02.21,1,1,1
DG5_F_8,DG5_F,m,Front,Pig,separation,emptybox,0,01.02.21,1,1,1
DG5_F_9,DG5_F,f,Side,Pig,test,testbox,1,04.02.21,1,7,4
DG5_F_9,DG5_F,f,Front,Pig,test,emptybox,1,04.02.21,1,7,4
DG5_F_9,DG5_F,f,Side,Pig,separation,testbox,1,04.02.21,1,7,4
DG5_F_9,DG5_F,f,Front,Pig,separation,emptybox,0,04.02.21,1,7,4
DG5_W_1,DG5_W,m,Front,Pig,test,testbox,1,05.02.21,1,9,5
DG5_W_1,DG5_W,m,Side,Pig,test,emptybox,1,05.02.21,1,9,5
DG5_W_1,DG5_W,m,Front,Pig,separation,testbox,0,05.02.21,1,9,5
DG5_W_1,DG5_W,m,Side,Pig,separation,emptybox,0,05.02.21,1,9,5
DG5_W_10,DG5_W,f,Side,Pig,separation,testbox,1,04.02.21,1,7,4
DG5_W_10,DG5_W,f,Front,Pig,test,emptybox,1,04.02.21,1,7,4
DG5_W_10,DG5_W,f,Side,Pig,test,testbox,1,04.02.21,1,7,4
DG5_W_10,DG5_W,f,Front,Pig,separation,emptybox,1,04.02.21,1,7,4
DG5_W_2,DG5_W,m,Front,Pig,test,emptybox,1,03.02.21,2,6,3
DG5_W_2,DG5_W,m,Side,Pig,test,testbox,1,03.02.21,2,6,3
DG5_W_2,DG5_W,m,Front,Pig,separation,emptybox,1,03.02.21,2,6,3
DG5_W_2,DG5_W,m,Side,Pig,separation,testbox,1,03.02.21,2,6,3
DG5_W_3,DG5_W,f,Front,Pig,test,testbox,1,01.02.21,1,1,1
DG5_W_3,DG5_W,f,Side,Pig,test,emptybox,1,01.02.21,1,1,1
DG5_W_3,DG5_W,f,Front,Pig,separation,testbox,0,01.02.21,1,1,1
DG5_W_3,DG5_W,f,Side,Pig,separation,emptybox,1,01.02.21,1,1,1
DG5_W_4,DG5_W,f,Front,Pig,test,testbox,1,02.02.21,2,4,2
DG5_W_4,DG5_W,f,Side,Pig,test,emptybox,1,02.02.21,2,4,2
DG5_W_4,DG5_W,f,Front,Pig,separation,testbox,0,02.02.21,2,4,2
DG5_W_4,DG5_W,f,Side,Pig,separation,emptybox,0,02.02.21,2,4,2
DG5_W_5,DG5_W,f,Side,Pig,separation,testbox,1,05.02.21,2,10,5
DG5_W_5,DG5_W,f,Side,Pig,test,testbox,1,05.02.21,2,10,5
DG5_W_5,DG5_W,f,Front,Pig,separation,emptybox,1,05.02.21,2,10,5
DG5_W_5,DG5_W,f,Front,Pig,test,emptybox,1,05.02.21,2,10,5
DG5_W_6,DG5_W,m,Side,Pig,test,testbox,1,02.02.21,1,3,2
DG5_W_6,DG5_W,m,Front,Pig,separation,emptybox,1,02.02.21,1,3,2
DG5_W_6,DG5_W,m,Front,Pig,test,emptybox,1,02.02.21,1,3,2
DG5_W_6,DG5_W,m,Side,Pig,separation,testbox,1,02.02.21,1,3,2
DG5_W_7,DG5_W,m,Front,Pig,test,testbox,1,03.02.21,1,5,3
DG5_W_7,DG5_W,m,Side,Pig,test,emptybox,1,03.02.21,1,5,3
DG5_W_7,DG5_W,m,Front,Pig,separation,testbox,0,03.02.21,1,5,3
DG5_W_7,DG5_W,m,Side,Pig,separation,emptybox,0,03.02.21,1,5,3
DG5_W_8,DG5_W,m,Front,Pig,test,emptybox,1,01.02.21,2,2,1
DG5_W_8,DG5_W,m,Side,Pig,test,testbox,1,01.02.21,2,2,1
DG5_W_8,DG5_W,m,Front,Pig,separation,emptybox,0,01.02.21,2,2,1
DG5_W_8,DG5_W,m,Side,Pig,separation,testbox,1,01.02.21,2,2,1
DG5_W_9,DG5_W,f,Side,Pig,test,emptybox,1,04.02.21,2,8,4
DG5_W_9,DG5_W,f,Front,Pig,test,testbox,1,04.02.21,2,8,4
DG5_W_9,DG5_W,f,Front,Pig,separation,testbox,0,04.02.21,2,8,4
DG5_W_9,DG5_W,f,Side,Pig,separation,emptybox,0,04.02.21,2,8,4
